split,variant,n,mean_delta_psnr,median_delta_psnr,wins_psnr,ties_psnr,win_percent_psnr,mean_delta_ssim,median_delta_ssim,wins_ssim,ties_ssim,win_percent_ssim,mean_delta_lpips,median_delta_lpips,wins_lpips,ties_lpips,win_percent_lpips,mean_delta_time_ms,median_delta_time_ms,mean_delta_hole_fraction,median_delta_hole_fraction,groups,groups_with_positive_mean_delta_psnr
easy,raft_hard,310,-0.9210730746516489,-0.5020393193017867,13,20,4.193548387096775,-0.0019821993014716636,-0.00103136925691788,10,20,3.225806451612903,0.001995448517658177,0.0008166171610355377,79,20,25.483870967741932,186.90800033217226,210.72229400033393,0.024663461153124497,0.009210366694589734,31,1
easy,raft_soft,310,-0.5967950452256092,-0.22709777208136828,46,0,14.838709677419354,-0.001091532709230252,-0.0004364093063788377,31,0,10.0,0.0014638110221694073,0.00028041540645062923,87,0,28.064516129032256,187.99379169994637,214.09778049928718,0.004205861203178819,0.0006130071271929824,31,0
medium,raft_hard,310,-0.9630220169838689,-0.6625663452948256,16,13,5.161290322580645,-0.004084277756538112,-0.002852142662712831,15,13,4.838709677419355,0.0036229017973622127,0.002488262951374054,56,13,18.064516129032256,188.80001355157455,219.28593500024363,0.0501824617644407,0.022971100983796296,31,0
medium,raft_soft,310,-0.6572823186726527,-0.38149808331339585,32,0,10.32258064516129,-0.002281960800441829,-0.0012078767433851278,24,0,7.741935483870968,0.003119728469943267,0.0015524467453360558,59,0,19.032258064516128,188.21541230320017,218.19999800072765,0.011352470727009347,0.004068520911654135,31,0
hard,raft_hard,310,-0.8764897431153221,-0.64495652896154,21,10,6.774193548387098,-0.00654059142555104,-0.0048931099746702955,22,10,7.096774193548387,0.005629389434151592,0.004173237830400467,41,10,13.225806451612904,189.52169911942966,221.04835599930084,0.0910879520703749,0.04315235109257519,31,1
hard,raft_soft,310,-0.62587327150879,-0.43161985953046056,36,0,11.612903225806452,-0.003930683275833497,-0.0026366654507464227,31,0,10.0,0.005501954454267698,0.0036600008606910706,37,0,11.935483870967742,191.2860449678016,221.82587899806094,0.035477053842241285,0.010080766908212562,31,0
extreme,raft_hard,310,-0.7275494933168587,-0.5186770159202325,33,8,10.64516129032258,-0.008020228479144851,-0.005579549152169794,26,8,8.38709677419355,0.008333707237315755,0.006886143237352371,36,8,11.612903225806452,190.3992714322451,220.9189814993806,0.12111289939367668,0.06965169270833334,31,1
extreme,raft_soft,310,-0.5463230020181219,-0.3295563977053284,41,0,13.225806451612904,-0.0054613289793381025,-0.003486969160033382,40,0,12.903225806451612,0.008536154094843134,0.006328843533992767,40,0,12.903225806451612,191.85725360643588,222.9098530006013,0.06245458006498267,0.02560006699124396,31,3
all,raft_hard,1240,-0.8720335820169247,-0.57148959897523,83,51,6.693548387096775,-0.005156824240676417,-0.0030355917844315794,73,51,5.887096774193548,0.004895361746621934,0.0029470971785485744,212,51,17.096774193548388,188.9072461088554,217.2156084998278,0.07176169359540419,0.0277068000830314,31,0
all,raft_soft,1240,-0.6065684093562934,-0.3402286743046741,155,0,12.5,-0.00319137644121092,-0.0015052474793642578,126,0,10.161290322580644,0.004655412010305876,0.002147558145225048,223,0,17.983870967741936,189.83812564434598,218.19999800072765,0.028372491459353024,0.005841218443243526,31,0
