split,variant,n,psnr,ssim,lpips,time_ms,hole_fraction
easy,average,310,32.429609370495555,0.9038062940527813,0.06029283559361037,1.9979526225729534,0.0
easy,raft_hard,310,36.57475727658187,0.9766746436780709,0.030788074482622888,2431.0419432902827,0.026918737476717913
easy,raft_soft,310,36.89903530600791,0.9775653102703122,0.03025643698713412,2432.127734658057,0.006461137526772234
easy,raft_uniform,310,37.495830351233515,0.9786568429795426,0.02879262596496471,2244.1339429581103,0.002255276323593416
extreme,average,310,21.643324738033353,0.680037003792589,0.19989870688126934,1.967461325787759,0.0
extreme,raft_hard,310,23.973129659016536,0.7770130229982182,0.12887958304415786,2463.578335180671,0.1468579278704651
extreme,raft_soft,310,24.154356150315277,0.779571922498025,0.12908202990168524,2465.0363173548612,0.08819960854177109
extreme,raft_uniform,310,24.700679152333397,0.7850332514773631,0.12054587580684212,2273.179063748425,0.02574502847678843
hard,average,310,24.508643404200576,0.7534072884565527,0.1362562938548264,1.9990151645434973,0.0
hard,raft_hard,310,28.21082832854162,0.884051997074802,0.07731372056558969,2465.2768644064054,0.10338680127515588
hard,raft_soft,310,28.46144480014815,0.8866619052245197,0.0771862855857058,2467.0412102547775,0.047775903047022256
hard,raft_uniform,310,29.087318071656938,0.8905925885003528,0.0716843311314381,2275.7551652869756,0.01229884920478097
medium,average,310,28.07453972020408,0.8314719276791775,0.09091327518803037,2.1274662645356006,0.0
medium,raft_hard,310,32.76885807463658,0.9537002522670671,0.04695939288114107,2470.145565658074,0.05554222584030958
medium,raft_soft,310,33.0745977729478,0.9555025692231632,0.04645621955372213,2469.5609644097,0.016712234802878246
medium,raft_uniform,310,33.731880091620454,0.957784530023605,0.043336491083778864,2281.3455521065,0.0053597640758689
